Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
Aland Islands,Rederi-A/B Eckero ,Translandia,7429229,Comoros,,,Rederi-A/B Eckero ,Rederi-A/B Eckero ,Alang,India,2014-05-24 00:00:00,RoRo,1976,13867
Albania,Albartin Shipping Company,Kneo,7526613,Albania ,,,Albartin Shipping Company,Nereida Sh.p.k. ,Aliaga,Turkey,2014-03-10 00:00:00,General Cargo With Container Capacity ,1977,3473
Albania,All Ferries S.A.,Adriatica Queen,7329522,Panama ,,,All Ferries S.A.,All Ferries S.A.,Aliaga,Turkey,2014-04-22 00:00:00,Passenger Ro/Ro ,1974,10002
Angola,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL) ,Lucy,8319902,Comoros,Curacao,2014-02-01 00:00:00,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL) ,G House-Lucala NV ,Alang,India,2014-03-01 00:00:00,Tanker,1986,36512
Angola,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL) ,Blue 1,8319914,Comoros,Curacao,2014-01-23 00:00:00,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL) ,G. House Lueji NV ,Gadani,Pakistan,2014-02-28 00:00:00,Tanker,1986,36512
Argentina,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Sam,8404874,Palau,Liberia,2014-07-26 00:00:00,Compania Latino Americana de Navegacion S.A. (CLAN S.A.) ,Crown Finance Company ,Alang,India,2014-12-04 00:00:00,Bulk carrier,1985,23609
Argentina,National Shipping S.A. ,Felici,7931856,St. Kitts-Nevis,Belize,2013-12-16 00:00:00,National Shipping S.A. ,National Shipping S.A. ,Chittagong,Bangladesh,2014-03-08 00:00:00,Tanker,1982,22103
Argentina,Naviera Sur Petrolera S.A. ,Eduardo Virasoro,7514268,Argentina,,,Naviera Sur Petrolera S.A. ,Naviera Sur Petrolera S.A. ,Unknown,Unknown,0,Tanker,1979,8678
Australia,Neptune Pacific Agency Australia Proprietary Limited ,Danny Rose,8611116,Dominica,,,Neptune Pacific Agency Australia Proprietary Limited ,Neptune Pacific Line Incorporated ,Alang,India,2014-07-27 00:00:00,General Cargo,1987,5994
Australia,Australian River Company,Rover,8018132,St. Kitts-Nevis,Australia,2014-04-12 00:00:00,Australian River Company,River Boyne Proprietary Limited ,Gadani,Pakistan,2014-04-10 00:00:00,Ore Carrier,1982,51035
Bahrain,Bramco Shipping WLL ,Bramco 6T,7419171,St. Kitts-Nevis,,,Bramco Shipping WLL ,Bramco Shipping WLL ,Alang,India,2014-02-10 00:00:00,Anchor Handling Fire Fighting Tug/Supply,1976,912
Bahrain,Uco Marine Contracting W.L.L. ,XX II,7112759,Bahrain,,,Uco Marine Contracting W.L.L. ,Uco Marine Contracting W.L.L. ,Alang,India,2014-06-27 00:00:00,Bulk carrier,1971,7524
Bahrain,Abdulla Ahmed Nass ,BBT-102,7501637,Bahrain,,,Abdulla Ahmed Nass ,Bahrain Bulk Trade WLL ,Gadani,Pakistan,2014-05-02 00:00:00,Anchor Handling Fire Fighting Tug/Supply,1976,892
Bahrain,Bramco Shipping WLL ,Bramco 2,8315657,Panama,,,Bramco Shipping WLL ,Bramco Shipping WLL ,Gadani,Pakistan,2014-08-29 00:00:00,Combined Bulk And Oil Carrier,1984,32607
Bahrain,Oil Marketing Company Limited ,Arius,7514660,Bahrain,,,Oil Marketing Company Limited ,Oil Marketing Company Limited ,Gadani,Pakistan,2014-05-14 00:00:00,Barge / Pontoon,1975,5385
Bahrain,United Cement Company BSC ,Sea Trader I,7109960,Honduras,,,United Cement Company BSC ,United Cement Company BSC ,Gadani,Pakistan,2014-05-21 00:00:00,General Cargo,1971,1639
Bahrain,Crown Maritime & Cargo Service Company ,Crown 1,7417226,India,,,Crown Maritime & Cargo Service Company ,Crown Maritime & Cargo Service Company ,Mumbai,India,2014-01-16 00:00:00,Tug/supply,1975,264
Bangladesh,Brave Royal Shipping Limited ,Khadiza Jahan,8318685,Bangladesh,,,Brave Royal Ship Management Limited ,S.R. Shipping Limited ,Alang,India,2014-08-02 00:00:00,Bulk carrier,1985,22271
Bangladesh,AK Ship Management & Services (Private) Limited ,Asrar-a-Mostafa,7516436,Bangladesh,,,AK Ship Management & Services (Private) Limited ,Prime Shipping Lines ,Chittagong,Bangladesh,2014-01-04 00:00:00,General Cargo,1978,4674
Bangladesh,AK Ship Management & Services (Private) Limited ,Niamun Nasir,8421391,Sierra Leone,,,AK Ship Management & Services (Private) Limited ,Ever Talent International Limited ,Chittagong,Bangladesh,2014-07-15 00:00:00,General Cargo,1985,4356
Bangladesh,Alunited Maritime Private Limited ,Mikaeel,8219358,Bangladesh,,,Alunited Maritime Private Limited ,Alunited Maritime Private Limited ,Chittagong,Bangladesh,2014-04-06 00:00:00,Bulk carrier,1986,21531
Bangladesh,Brave Royal Shipping Limited ,Shahriar Jahan,8323678,Bangladesh,,,Brave Royal Ship Management Limited ,S.R. Shipping Limited ,Chittagong,Bangladesh,2014-07-09 00:00:00,Bulk carrier,1985,22053
Bangladesh,Brave Royal Shipping Limited ,Sarwar Jahan,8307832,Bangladesh,,,Brave Royal Ship Management Limited ,S.R. Shipping Limited ,Chittagong,Bangladesh,2014-12-25 00:00:00,Bulk carrier,1985,23186
Bangladesh,Brave Royal Shipping Limited ,Brave Royal,8312681,Bangladesh,,,Brave Royal Shipping Limited ,Brave Royal Shipping Limited ,Chittagong,Bangladesh,2014-06-26 00:00:00,Bulk carrier,1984,20277
Bangladesh,Bulk Shipping Lines Pvt Limited ,Green Ocean 1,8307961,Panama,,,Bulk Shipping Lines Pvt Limited ,Green Ocean Maritime Corporation ,Chittagong,Bangladesh,2014-01-27 00:00:00,Bulk carrier,1984,26195
Bangladesh,Deshbandhu Group ,Deshbandhu-1,8401315,Bangladesh,,,Deshbandhu Group ,M/S Deshbandhu Shipping Limited ,Chittagong,Bangladesh,2014-11-02 00:00:00,Bulk carrier,1987,24536
Bangladesh,Deshbandhu Group ,Golam-E-Mostafa,8311431,Bangladesh,,,Deshbandhu Group ,MR Trading M/S ,Chittagong,Bangladesh,2014-03-10 00:00:00,General Cargo,1986,10572
Bangladesh,EC Bulk Carrier Limited ,Omera I,8412778,Bangladesh,,,EC Bulk Carrier Limited ,EC Bulk Carrier Limited ,Chittagong,Bangladesh,2014-06-30 00:00:00,Bulk carrier,1986,23624
Bangladesh,Government of Bangladesh ,Banglar Maya,7913282,Bangladesh,,,Bangladesh Shipping Corporation ,Bangladesh Shipping Corporation ,Chittagong,Bangladesh,2014-02-24 00:00:00,General Cargo,1980,11764
Bangladesh,HRC Shipping Limited ,Banga Laka,7707645,Bangladesh,,,HRC Shipping Limited ,HRC Shipping Limited ,Chittagong,Bangladesh,0,General Cargo,1978,7560
Bangladesh,Tradewind Ship Management Limited ,Hong Kong Pearl,8403791,St. Vincent & Grenadines,,,Tradewind Ship Management Limited ,Excel Horizon Limited ,Chittagong,Bangladesh,2014-04-02 00:00:00,Bulk carrier,1985,24625
Belize,Fisher Maritime Company Limited ,Fisher D.,8018027,Panama,,,Fisher Maritime Company Limited ,Fisher Maritime Company Limited ,Alang,India,2014-07-07 00:00:00,Bulk carrier,1981,16773
Bermuda,BW Group Limited,BW Hermes,8131104,Norway (Int. Register) ,,,BW LPG Private Limited ,BW LPG Private Limited ,Aliaga,Turkey,2014-01-16 00:00:00,Liquid Petroleum Gas Carrier ,1983,18152
Brazil,Maestra Navegacao e Logistica SA ,Caribe,9074418,St. Kitts-Nevis,Brazil,2014-09-14 00:00:00,Maestra Navegacao e Logistica SA ,Maestra Shipping LLP ,Alang,India,2014-10-30 00:00:00,Fully Cellular Containership,1994,15908
Brazil,NTL - Navegacao E Logistica SA ,Pacifico,9074406,St. Kitts-Nevis,Brazil,2014-09-23 00:00:00,NTL - Navegacao E Logistica SA ,Maestra Shipping LLP ,Alang,India,2014-10-30 00:00:00,Fully Cellular Containership,1994,15908
Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Ajuba,8900036,St. Kitts-Nevis,Brazil,2013-11-12 00:00:00,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Alang,India,2014-01-01 00:00:00,Tanker,1993,26639
Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Amonte,8920490,St. Kitts-Nevis,Brazil,2014-02-09 00:00:00,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Alang,India,2014-04-09 00:00:00,Tanker,1995,25924
