NAME,IMO#,TYPE,GT,BUILT,FLAG,FORMER FLAG (CHANGED FOR BREAKING),FORMER NAME (CHANGED FOR BREAKING),BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,Unnamed: 16,"*Due to the general intransparency of the shipping industry and unwillingness to provide complete information freely and publically, the data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible. 
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The high number of “unknown owners” is proof that the shipping industry takes advantage of dubiously complex company structures to remain hidden. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
El Hadj,8103585.0,Bulk Carrier,37327,1981,St Kitts & Nevis,Algeria,El Hadjar,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,2017-02-01,,
Cash,7708194.0,Bulk Carrier,16013,1978,St Kitts & Nevis,Algeria,Nememcha,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,2017-05-01,,
Temouchent,8110447.0,Bulk Carrier,19084,1982,Comoros,Algeria,Ain Temouchent,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,2017-05-01,,
Tang ,7708182.0,Bulk Carrier,16013,1978,St Kitts & Nevis,Algeria,Nedroma,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,2017-05-01,,
Djebel El Onk II,8417314.0,General Cargo,2863,1985,Sierra Leone,,Djebel El Onk,International Bulk Carrier S.p.A. ,Algeria,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2017-07-01,,
Djebel Refaa,8417338.0,General Cargo,2863,1986,Sierra Leone,,Djebel Chrea II,International Bulk Carrier S.p.A. ,Algeria,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2017-07-01,,
Vira,7514268.0,Tanker,8678,1979,St Kitts & Nevis,Argentina,Eduardo Virasoro,Sur Petrolera Naviera,Argentina,National Shipping SA,Sur Petrolera Naviera,Argentina,Chittagong,Bangladesh,2017-09-01,,
Niamul Mowla,8513429.0,Bulk Carrier,20046,1986,Bangladesh,,Unitrust,AK Ship Management & Services,Bangladesh,MM Shipping Singapore,Azlan Shipping Lines Ltd,Bangladesh,Chittagong,Bangladesh,2017-04-01,,
Akij Wave,9109366.0,Bulk Carrier,27011,1995,Bangladesh,,,Akij Shipping Line Limited ,Bangladesh,Akij Shipping Line Limited ,Akij Ocean Line Limited ,Bangladesh,Chittagong,Bangladesh,2017-01-01,,
Banglar Shikha,8908478.0,General Cargo,9927,1991,Bangladesh,,,Bangladesh Govt,Bangladesh,Bangladesh Shipping Corp,Bangladesh Shipping Corp,Bangladesh,Chittagong,Bangladesh,2017-09-01,,
Symeon,9128283.0,Tanker,81148,1998,Comoros,Greece,Cap Georges,CMB SA,Belgium,Euronav NV,Euronav NV,Belgium,Chittagong,Bangladesh,2017-12-01,,
Krankeloon,7817593.0,Hopper/Dredger,3678,1980,Belgium,,,DEME Group,Belgium,Decloedt en Zoon NV,Decloedt en Zoon NV,Belgium,Ghent,Belgium,2017-07-01,,
Berge Atlantic,9164184.0,Bulk Carrier,91962,1998,Comoros,Norway,,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,P/R Bergesen Goic DA ,Norway,Gadani,Pakistan,2017-01-01,,
Berge Fjord,8314471.0,Bulk Ore Carrier,159534,1987,Panama,,,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,Berge Fjord Company S.A. ,Panama,Chittagong,Bangladesh,2017-03-01,,
Fann,8511263.0,Vehicles Carrier,27650,1985,Comoros,Panama,Golden Fan,Berge Bulk Limited ,Bermuda,Kawasaki Kisen Kaisha Ltd,Jafett Shipping Inc,Panama,Chittagong,Bangladesh,2017-08-01,,
Berge Yotei,9161508.0,Bulk Carrier,87322,1997,Isle Of Man,,Cape Wisteria,Berge Bulk Limited ,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Mauna Loa Co SA,Panama,Gadani,Pakistan,2017-09-01,,
Bw Havfrost,8814768.0,Liquefied Petroleum Gas Carrier,34946,1991,Norway,,,BW Group Limited ,Bermuda,BW LPG Private Limited ,Partrederiet Bergesen d.y. Shipping DA ,Norway,Alang,India,2017-01-01,,
Venezia,9231743.0,Fully Cellular Containership,65131,2001,Hong Kong,,,Nautilus group of companies ,Bermuda,Nautilus Holdings Limited ,Regal Stone Limited ,Hong Kong,Chittagong,Bangladesh,2017-01-01,,
Tay,8758847.0,"Platform, Semi-Submersible",28592,1981,Tanzania ,,Odn Tay IV,Odebrecht Oleo e Gas SA,Brazil,Odebrecht Oleo e Gas SA,ODN Tay IV GmbH,Austria,Aliaga,Turkey,2017-09-01,,
Ten,8421169.0,Product Tanker,35845,1991,Djibouti,Brazil,Potengi,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Alang,India,2017-05-01,,
Lobat,8617031.0,Tanker,25807,1993,Djibouti,Brazil,Lobato,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Chittagong,Bangladesh,2017-09-01,,
Bras X,8754023.0,"Platform, Semi-Submersible",14411,1982,Tanzania ,,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,2017-11-01,,
Bras XVII,8754097.0,"Platform, Semi-Submersible",12642,1984,Tanzania ,Liberia,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,2017-11-01,,
Bras XVII,8754085.0,"Platform, Semi-Submersible",12642,1984,Tanzania ,Marshall Islands,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,2017-11-01,,
Guapore-I,7921899.0,Liquefied Gas Tanker,6961,1982,Togo,Brazil,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Alang,India,2017-12-01,,
Ore Brucutu,8516691.0,Bulk Ore Carrier,124039,1986,Liberia,,,Vale SA,Brazil,Seamar Shipping Corporation ,Seamar Shipping Corporation ,Liberia,Alang,India,2017-02-01,,
Ore Sossego,8907436.0,Bulk Ore Carrier,149064,1991,Cook Islands,,Sunrise V,Vale SA,Brazil,Vale SA,Seamar Shipping Corp,Liberia,Alang,India,2017-07-01,,
Alaskan Star,8750089.0,Drill Platform,11464,1976,Panama,,,Alaskan Star Limited ,British Virgin Islands,Alaskan Star Limited ,Alaskan Star Limited ,British Virgin Islands,Aliaga,Turkey,2017-05-01,,
Enterprise,7424774.0,Anchor Handling Tug/Supply,1313,1975,Bulgaria,,,Bon Marine International EAD ,Bulgaria,Bon Marine International EAD ,Bon Marine International EAD ,Bulgaria,Aliaga,Turkey,2017-01-01,,
Deniz,7361635.0,General Cargo,2952,1974,Comoros,,,Comsul Ltd,Bulgaria,Eca Ship Trade Co,Comsul Ltd,Bulgaria,Aliaga,Turkey,2017-12-01,,
Midjur,9015656.0,Bulk Carrier,13834,1992,Malta,,,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Bulgaria,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Rousse Maritime Limited ,Malta,Gadani,Pakistan,2017-04-01,,
John B.,8002432.0,Bulk Carrier,22881,1983,Sierra Leone,,,Algoma Central Corporation ,Canada,Algoma Central Corporation ,Algoma Central Corporation ,Canada,Aliaga,Turkey,2017-06-01,,
Preserver,6918546.0,Tanker/Supply Ship,17764,1970,Canada,,,Canada Govt,Canada,Canada Govt National Defence,Canada Govt National Defence,Canada,Sidney,Canada,2017-08-01,,
Princess Of Acadia,7039567.0,Roro Cargo/Ferry,10051,1971,Canada,,,Canada Govt,Canada,Northumberland Ferries Ltd,Canada Govt Transport,Canada,Port Colborne,Canada,2017-11-01,,
Glen,8409331.0,"Bulk Carrier, Great Laker",20370,1985,Comoros,Canada,,CSL Group Inc,Canada,CSL Group Inc,CSL Group Inc,Canada,Aliaga,Turkey,2017-10-01,,
Anna,8600507.0,General Cargo,15893,1986,Palau,Canada,Anna Desgagnes,Desgagnes Groupe,Canada,Desgagnes Transport Inc,Desgagnes Transport Inc,Canada,Gadani,Pakistan,2017-08-01,,
Kathryn Spirit,6717069.0,Open Hatch Cargo Ship,9261,1967,Canada,,,McKeil Marine Ltd,Canada,McKeil Marine Ltd,McKeil Marine Ltd,Canada,Great Lakes,Canada,2017-12-01,,
Buchan A,7347706.0,"Platform, Semi-Submersible",8000,1973,United Kingdom,,,Talisman Energy Inc,Canada,Talisman Sinopec Energy UK Ltd,Talisman Sinopec Energy UK Ltd,United Kingdom,Lerwick,United Kingdom,2017-08-01,,
Sunny,9192337.0,Tanker,62685,1999,Comoros,Bahamas,Kanata Spirit,Teekay Corp,Canada,Teekay Chartering Ltd,Kanata Spirit Holding LLC,Marshall Islands,Chittagong,Bangladesh,2017-09-01,,
Lion,8914740.0,Fso,79873,1991,Palau,Bahamas,,Teekay Corp,Canada,Teekay Shipping Norway AS,Navion Offshore Loading AS,Norway,Alang,India,2017-10-01,,
Tina,9191345.0,Tanker,58288,1999,Palau,Marshall Islands,Sentinel Spirit,Teekay Corp,Canada,Teekay Chartering Ltd,1999 Sentinel Trust,United States Of America,Chittagong,Bangladesh,2017-12-01,,
T Sunny,9192349.0,Tanker,62685,1999,Comoros,Bahamas,Kareela Spirit,Teekay Corp,Canada,Teekay Chartering Ltd,Kareela Spirit Holding LLC,Marshall Islands,Alang,India,2017-12-01,,
Rig 105,8754839.0,"Platform, Jack-Up (Self-Elev.)",4161,1975,Vanuatu,,,Shelf Drilling Holdings Ltd,Cayman Islands,Shelf Drilling Holdings Ltd,Shelf Drilling Egypt Ltd,Egypt,Unknown,Unknown,2017-08-01,,
Vila,8713550.0,Refrigerated Cargo,11590,1990,Comoros,Liberia,Avila Star,Siem Shipping Inc,Cayman Islands,Star Reefers Pool Inc,Star Reefers Shipowning Inc,Cayman Islands,Alang,India,2017-09-01,,
Honduras,8906975.0,Refrigerated Cargo,10629,1992,Comoros,Liberia,,Siem Shipping Inc,Cayman Islands,Star Reefers Pool Inc,Star Reefers Shipowning Inc,Cayman Islands,Alang,India,2017-10-01,,
Happy Fellow,9005481.0,Liquefied Petroleum Gas Carrier,3703,1992,Isle of Man,,,Naviera Ultranav Limitada ,Chile,Othello Shipping Company ApS ,Iguana Shipping & Finance Incorporated ,Panama,Alang,India,2017-04-01,,
Silver Bridge,9200756.0,Tanker,57944,1999,Marshall Islands,,,Bank of Communications,China,Sinokor Merchant Marine Co Ltd,Haojiang International Ship,Hong Kong  ,Chittagong,Bangladesh,2017-10-01,,
Wu Chang Hai,9160267.0,Bulk Carrier,16677,1998,China,,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,COSCO BULK,China,Taixing,China,2017-07-01,,
Nan Hai,9117703.0,Bulk Carrier,26123,1996,Panama,,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,Nanhai Shipping Inc,Panama,Jiangyin,China,2017-07-01,,
Peng Ying,8903313.0,Bulk Carrier,36544,1990,China,,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Shenzhen Ocean Shipping Co Ltd,China,Taixing,China,2017-07-01,,
Song Hai,9155327.0,Bulk Carrier,27585,1998,China,,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,COSCO BULK,China,Zhoushan,China,2017-07-01,,
You Liang,8913198.0,Bulk Carrier,23303,1991,China,,,China COSCO Shipping Corporation Limited ,China,Shenzhen Ocean Shipping Co Ltd,Shenzhen Ocean Shipping Co Ltd,China,Zhoushan,China,2017-08-01,,
Lu Hai,9159452.0,Bulk Carrier,26829,1998,China,,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,COSCO BULK,China,Zhoushan,China,2017-08-01,,
Yong Huan,9236169.0,Bulk Carrier,40437,2000,Hong Kong,,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Well Crown Shipping,Hong Kong  ,Jiangyin,China,2017-07-01,,
