NAME,IMO#,TYPE,GT,LDT,BUILT,LAST FLAG ,PREVIOUS FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,Unnamed: 16,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
Nereida,7519294,General Cargo,6917,3293.0,1978,Albania,,Nereida Shipping & Forwarding Agency,Albania,Adriatic Sea Transport Shpk,Adriatic Sea Transport Shpk,Albania,Alang,India,2018-03-01,,
Seahorse Standard,7623930,Supply Ship (O.R.S.V.),2090,1991.0,1981,Tuvalu,Australia,DMS Maritime Pty Ltd,Australia,DMS Maritime Pty Ltd,DMS Maritime Pty Ltd,Australia,Alang,India,2018-05-01,,
Norfolk Guardian,8600856,General Cargo,1598,933.0,1987,Tonga,,Malcolm Burns Reid,Australia,Aranui Shipping Ltd,Norfolk Island Shipping NZ Ltd,New Zealand,Alang,India,2018-10-01,,
Capricorn J,7321611,Tug/Supply Ship (O.R.S.V.),986,993.0,1973,Bahrain,,Nass AA,Bahrain,Nass AA,GULFCORP,Bahrain,Alang,India,2018-04-01,,
Salvanita,7723510,Tug,657,500.0,1977,Bahrain,,Nass AA,Bahrain,Oil Marketing Corp BSC,Gulf Dragon Trading Co WLL,Bahrain,Gadani,Pakistan,2018-04-01,,
Akij Glory,8413253,Bulk Carrier,24487,7362.0,1985,Bangladesh,,Alunited Maritime Business,Bangladesh,Akij Shipping Line Ltd,Akij Shipping Line Ltd,Bangladesh,Chittagong,Bangladesh,2018-01-01,,
Ganga,8209614,General Cargo,5505,2649.0,1983,Cook Islands,Bangladesh,HRC Shipping Ltd,Bangladesh,HRC Shipping Ltd,HRC Shipping Ltd,Bangladesh,Chittagong,Bangladesh,2018-01-01,,
Crystal Sapphire,8321096,Bulk Carrier,28739,10246.0,1986,Bangladesh,,Crystal Navigations Ltd,Bangladesh,Marine Agency Services Ltd,Bay Navigations Ltd,Bangladesh,Chittagong,Bangladesh,2018-02-01,,
Ocean Pride,8323214,Bulk Carrier,21941,7639.0,1986,Bangladesh,,Ocean Merit Pte Ltd,Bangladesh,Kay Ship Management & Services,Ocean Merit Pte Ltd,Bangladesh,Chittagong,Bangladesh,2018-04-01,,
Rongdhonu,5300481,Hospital Ship,555,,1957,Bangladesh,,Friendship,Bangladesh,Friendship,Friendship,Bangladesh,Chittagong,Bangladesh,2018-09-01,,
Courcheville,8804725,Liquefied Gas Tanker,19719,10151.0,1989,Belgium,,CMB SA,Belgium,Exmar NV,Exmar Shipping BVBA,Belgium,Alang,India,2018-01-01,,
S Jean,9158147,Tanker,81148,24910.0,1998,Palau,Greece,CMB SA,Belgium,Euronav NV,Euronav NV,Belgium,Chittagong,Bangladesh,2018-07-01,,
S Romuald,9160229,Tanker,81148,24914.0,1998,Palau,Greece,CMB SA,Belgium,Euronav NV,Euronav NV,Belgium,Alang,India,2018-09-01,,
Haddad 1,7413921,General Cargo,1092,,1976,Panama,Bolivia,Haddad Shipping Company SA,Belize,Haddad Shipping Co SA,Haddad Shipping Co SA,Belize,Aliaga,Turkey,2018-01-01,,
Ed Holt,8751100,"Platform, Jack-Up (Self-Elev.)",5781,7464.0,1981,Liberia,,Borr Drilling Ltd,Bermuda,Oil & Natural Gas Corp Ltd,Paragon Offshore Drilling LLC,"Hong Kong, China",Alang,India,2018-11-01,,
Ore Fabrica,9046019,Ore Trans-Shipment Ship,154978,44362.0,1993,Cook Islands,,Vale SA,Brazil,Vale SA,Seamar Shipping Corp,Liberia,Alang,India,2018-01-01,,
Ras X,5284211,Fpso,27643,17241.0,1959,Djibouti,Panama,PETROBRAS,Brazil,PETROBRAS,PETROBRAS,Brazil,Alang,India,2018-02-01,,
Ore Vitoria,8802923,Ore Carrier,116427,26695.0,1989,Liberia,,Vale SA,Brazil,Vale SA,Seamar Shipping Corp,Liberia,Chittagong,Bangladesh,2018-07-01,,
Petro X,8753653,"Platform, Semi-Submersible",21503,18406.0,1975,Djibouti,Unknown,PETROBRAS,Brazil,PETROBRAS,Petrobras Netherlands BV,Netherlands,Alang,India,2018-11-01,,
Bras Xxiii,8754114,"Platform, Semi-Submersible",20404,,1985,Togo,,PETROBRAS,Brazil,PETROBRAS,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,2018-12-01,,
Everest 02,8102531,Tug/Supply Ship (O.R.S.V.),1316,1309.0,1982,Kiribati,,Dang Development Investment LLC,British Virgin Islands,Hai Duong Co Ltd,Dang Development Investment,United States Of America,Chittagong,Bangladesh,2018-02-01,,
Velda,9011076,Tanker,52525,15936.0,1992,Panama,,Vista Shipping,British Virgin Islands,Fides Ship Management LLC,Aetna Maritime Inc-MAI,Marshall Islands,Chittagong,Bangladesh,2018-04-01,,
C Hunter,8127048,Tug/Supply Ship (O.R.S.V.),1398,,1982,Panama,,Teamleader Investing Limited,British Virgin Islands,Teamleader Investing Ltd,Teamleader Investing Ltd,"Virgin Islands, British",Niteroi,Brazil,2018-12-01,,
