IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
9183867,GEOWAVE COMMANDER,Research Survey Vessel,5631,,1998,Norway (Nis),,DOF ASA,Norway,Fjord Shipping AS-Maaloy,Master & Commander AS,Norway,Feda,Norway,2020-12-01,,,
7364601,BURAK A,General Cargo Ship,1245,730.0,1974,Turkey,,Muhsin Altintas Alden,Turkey,Muhsin Altintas Alden,Muhsin Altintas Alden,Turkey,Aliaga,Turkey,2020-12-01,,,
8638932,ADRIATICO,Bucket Ladder Dredger,840,,1967,Belgium,,Dredging International NV,Belgium,Dredging International NV,Dredging International NV,Belgium,Ghent,Belgium,2021-01-01,,,
9083964,ARGO I,Ore Carrier,146393,38832.0,1995,St Kitts & Nevis,Isle of Man,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Lhotse Co SA,Panama,Chittagong,Bangladesh,2021-01-01,,,
9538830,BULLY II,Drilling Ship,30270,27147.0,2011,St Kitts & Nevis,Liberia,Borr Drilling Ltd,Bermuda,Noble Drilling US LLC,Bully 2 Switzerland GmbH,Switzerland,Alang,India,2021-01-01,,,
7726677,ALGOMA ENTERPRISE,"Bulk Carrier, Self-discharging, Laker",23395,9194.0,1979,Canada,,Algoma Central Corp,Canada,Algoma Central Corp,Algoma Central Corp,Canada,Port Colborne,Canada,2021-01-01,,,
8763581,HAI YANG SHI YOU 102,"FPSO, Oil",35727,15352.0,1990,China ,,China National Offshore Oil,China ,China Offshore Oil Bohai Corp,China National Offshore Oil,China ,Unknown,China ,2021-01-01,,,
9100229,NAJA ARCTICA,Container Ship (Fully Cellular),11612,5347.0,1994,Denmark ,,Denmark Govt,Denmark,Royal Arctic Line A/S,Royal Arctic Line A/S,Greenland,Frederikshaven,Denmark,2021-01-01,,,
9100231,NUKA ARCTICA,Container Ship (Fully Cellular),11612,5347.0,1995,Denmark ,,Denmark Govt,Denmark,Royal Arctic Line A/S,Royal Arctic Line A/S,Greenland,Frederikshaven,Denmark,2021-01-01,,,
8223854,PRINCESS DINA,General Cargo Ship,3901,2105.0,1983,Comoros,,El Reedy Shipping,Egypt,Cedar Marine Services SAL,Dina Shipping Inc,Marshall Islands,Gadani,Pakistan,2021-01-01,,,
9245639,ZINGA,Platform Supply Ship,2160,,2002,Gabon,St Vincent & The Grenadines,Bourbon Corp SA,France,Bourbon Offshore Surf SAS,Mastshipping Lda,Portugal,Alang,India,2021-01-01,,,
9236963,CROWN,Anchor Handling Tug Supply,3154,3479.0,2001,St Kitts & Nevis,Bahamas,Bourbon Corp SA,France,Bourbon Offshore Surf SAS,Bourbon Supply Investissements,France,Alang,India,2021-01-01,,,
4546856,TENACE,Tug,896,,1972,France,,France Govt,France,France Govt Marine Nationale,France Govt Marine Nationale,France,Le Havre,France,2021-01-01,,,
9066760,SUSI,Bulk Carrier,22147,8973.0,1994,Liberia,,MST Mineralien Schiffahrt GmbH,Germany,MINSHIP Shipmanagement GmbH,Barbara GmbH & Co KG,Germany,Alang,India,2021-01-01,,,
9118329,ANTO,Bulk Carrier,26341,7985.0,1996,Palau,Malta,Chekka Shipping SA,Greece,Chekka Shipping SA,Faraj Navigation Ltd,Malta,Chittagong,Bangladesh,2021-01-01,,,
9259331,EURODESTINY,Crude Oil Tanker,159936,39803.0,2003,Liberia,,Eurotankers Inc,Greece,Eurotankers Inc,Fish Town Shipping SA,Liberia,Gadani,Pakistan,2021-01-01,,,
6417097,MARCO POLO,Passenger/Cruise,22080,14561.0,1965,Tanzania (Zanzibar),Bahamas,Global Maritime Group Inc,Greece,Cruise & Maritime Voyages Ltd,Story Cruise Ltd,Liberia,Alang,India,2021-01-01,,,
8217881,MAGES,Passenger/Cruise,46052,20912.0,1985,Comoros,Bahamas,Global Maritime Group Inc,Greece,Cruise & Maritime Voyages Ltd,Epic Cruise Ltd,Bahamas,Alang,India,2021-01-01,"Before demolition, this unit was briefly owned by Seajets' owner Marios Iliopoulos.",,
9292022,DALIAN,General Cargo Ship,23119,12723.0,2004,Marshall Islands,,LS Asset,Guernsey,Rickmers-Linie,Darwin Ltd,Isle of Man,Chittagong,Bangladesh,2021-01-01,,,
9220990,AN LI,Bulk Carrier,87407,24604.0,2000,Niue,Panama,An Li Ocean Ltd,Hong Kong,An Li Ocean Ltd,An Li Ocean Ltd,Hong Kong,Chittagong,Bangladesh,2021-01-01,,,
8124371,K EAGLE,Container Ship (Fully Cellular),31041,13635.0,1983,St Kitts & Nevis,,Blue Ideas Ltd,Hong Kong,Blue Ideas Ltd,Blue Ideas Ltd,Hong Kong,Chittagong,Bangladesh,2021-01-01,,,
8900517,CAROL HK,"Bulk Carrier, Self-discharging",43332,13401.0,1990,Panama,,Hong Da International Group,Hong Kong,Jiuzhou International Shpg Ltd,Jiuzhou International Shpg Ltd,Hong Kong   ,Chittagong,Bangladesh,2021-01-01,,,
7215161,ROPOLIS,Passenger/Ro-Ro Ship (Vehicles),17261,8342.0,1972,St Kitts & Nevis,Jamaica,Hopewin Ship Management,Hong Kong,Hopewin Ship Management,Metropolis Cruise Co Ltd,Hong Kong   ,Alang,India,2021-01-01,,,
8721014,LIZA,General Cargo Ship,4643,3120.0,1988,Russia,,PESCO ,Hong Kong,PESCO ,PESCO ,Hong Kong,Chittagong,Bangladesh,2021-01-01,,,
8900529,BERNI HK,"Bulk Carrier, Self-discharging",43332,13450.0,1991,Panama,,Unknown,Hong Kong,Fujian Marine Co Ltd,Great Faith Asia Pacific Shpg,Hong Kong   ,Chittagong,Bangladesh,2021-01-01,,,
9082881,WUYI HK,Bulk Carrier,39422,11750.0,1995,Panama,,Unknown,Hong Kong,Star Hong Kong Shipping Ltd,Star Hong Kong Shipping Ltd,Hong Kong   ,Chittagong,Bangladesh,2021-01-01,,,
9019286,ADINATH ONE,Platform Supply Ship,2145,1648.0,1992,India,,Great United Energy Pvt Ltd,India,Great United Energy Pvt Ltd,Great United Energy Pvt Ltd,India,Alang,India,2021-01-01,,,
9141986,SEAPOL ENDEAVOUR,Bulk Carrier,26021,8100.0,1996,India,,Seaport Logistics Pvt Ltd,India,Seaport Logistics Pvt Ltd,Seaport Logistics Pvt Ltd,India,Chittagong,Bangladesh,2021-01-01,,,
9238935,ZUI,Ro-Ro Cargo Ship,13097,7631.0,2001,Comoros,Japan,Kuribayashi Steamship Co Ltd,Japan,Kuribayashi Steamship Co Ltd,Japan Railway/Kuribayashi,Japan,Chittagong,Bangladesh,2021-01-01,,,
9165322,GREAT SUNRISE,Ore Carrier,83015,20719.0,1999,Panama,,NYK Line,Japan,Asahi Shipping Co Ltd,Artemis Shipholding/Kyoku Ship,Panama,Alang,India,2021-01-01,,,
8014473,SENSHU MARU,LNG Tanker,102330,20296.0,1984,Panama,,NYK Line,Japan,Kawasaki Kisen Kaisha Ltd,Nippon/Mitsui/Kawasaki/Indigo,Japan,Alang,India,2021-01-01,,,
9006693,NAMHAE,LPG Tanker,4236,2743.0,1991,Niue,Korea (South),GS Holdings,Korea (South),Sangji Shipping Co Ltd,GS-Caltex Corp,Korea (South),Chittagong,Bangladesh,2021-01-01,,,
9129043,HANJIN 3006,General Cargo Ship,2794,2106.0,1996,Korea (South),,Hanjin Transportation Co Ltd,Korea (South),Hanjin Transportation Co Ltd,Hanjin Transportation Co Ltd,Korea (South),Busan,Korea (South),2021-01-01,,,
9170444,LILA BUSAN,Bulk Carrier,76068,18163.0,1998,Liberia,Korea (South),Pan Ocean Co Ltd,Korea (South),Pan Ocean Co Ltd,Pan Ocean Co Ltd,Korea (South),Chittagong,Bangladesh,2021-01-01,,,
9030943,NEPTUNE 1,Ore Carrier,164325,46971.0,1993,Comoros,Marshall Islands,Polaris Shipping Co Ltd,Korea (South),Polaris Shipping Co Ltd,PS-1 Shipping Inc,Marshall Islands,Chittagong,Bangladesh,2021-01-01,,,
8756227,MOBILE PRODUCER 10,"Production Platform, jack up",5452,9439.0,1975,Niue,Malaysia,PETRONAS,Malaysia,PETRONAS,PETRONAS,Malaysia,Chittagong,Bangladesh,2021-01-01,,,
7925819,ERIN,"FPSO, Oil",54702,24201.0,1984,Palau,Malaysia,Sabah International Petroleum,Malaysia,Sabah International Petroleum,Sabah International Petroleum,Malaysia,Gadani,Pakistan,2021-01-01,,,
9008811,DIMA,Products Tanker,6765,4048.0,1992,Comoros,,Dima Shipping Ltd,Marshall Islands,Dima Shipping Ltd,Dima Shipping Ltd,Marshall Islands,Gadani,Pakistan,2021-01-01,,,
9085352,WUGANG ATLANTIC,Ore Carrier,156281,41554.0,1995,Liberia,,Zodiac Group Monaco SAM,Monaco,Zodiac Maritime Ltd,Spert Shipping Inc,Liberia,Alang,India,2021-01-01,,,
8750833,DEEPSEA BERGEN,"Drilling Rig, semi Submersible",15549,14739.0,1983,Norway,,JO Odfjell AS,Norway,Odfjell Drilling AS,Odfjell Rig II Ltd,Bermuda,Aliaga,Turkey,2021-01-01,,,
8919934,INTEGRITY,Vehicles Carrier,52479,16300.0,1992,United States Of America,,Wilhelmsen Holding ASA,Norway,American Roll-on Roll-off,Fidelio LP,United States Of America,Aliaga,Turkey,2021-01-01,,,
9038749,Y 5,Crude Oil Tanker,55864,16506.0,1994,St Kitts & Nevis,Panama,Fainan Investments SA,Panama,Fainan Investments SA,Fainan Investments SA,Panama,Chittagong,Bangladesh,2021-01-01,,,
