IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,Unnamed: 16,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
8104539,VELA I,General Cargo Ship,1939,950.0,1982,Cameroon,,Irger ShPK,Albania,Irger ShPK,Irger ShPK,Albania,Aliaga,Turkey,2025-04-01 00:00:00,,
8402591,RAFAELO I,General Cargo Ship,1473,890.0,1985,Albania,,Rafaelo 2002 JSC,Albania,Rafaelo 2002 JSC,Rafaelo 2002 JSC,Albania,Unknown,Unknown,2025-07-01 00:00:00,,
7529031,CAPE HORN,Replenishment Dry Cargo Vessel,5235,,1979,Sierra Leone,Argentina,Argentina Govt,Argentina,Argentina Govt Serv Trans,Argentina Govt Serv Trans,Argentina,Lagos,Nigeria,2025-08-01 00:00:00,,Breach EU SRR
9203708,CORSO MARINE,General Cargo Ship,5659,3169.0,2000,Sierra Leone,,Prime Shipping LLC-ARM,Armenia,Prime Shipping LLC-ARM,Prime Shipping LLC-ARM,Armenia,Alang,India,2025-07-01 00:00:00,,Breach Basel BAN
4512714,ANZAC,Frigate,4251,,1996,Australia,,Australia Govt,Australia,Australia Govt Dept of Defence,Australia Govt Dept of Defence,Australia,Unknown,Australia,2025-08-01 00:00:00,,Breach EU WSR
8332693,SHYAMA,Products Tanker,675,633.0,1971,Bangladesh,,Navigation Ltd,Bangladesh,Navigation Ltd,Navigation Ltd,Bangladesh,Chittagong,Bangladesh,2025-01-01 00:00:00,,Compliance EU SRR
9083081,GREAT ROYAL,Bulk Carrier,23263,6580.0,1994,Bangladesh,,Mariners Associates CTG Ltd,Bangladesh,Vanguard Maritime Ltd,BSA Shipping Ltd,Bangladesh,Chittagong,Bangladesh,2025-07-01 00:00:00,,Dark fleet
8508943,BANGLAR JYOTI,Crude Oil Tanker,8672,,1987,Bangladesh,,Bangladesh Govt,Bangladesh,Bangladesh Shipping Corp,Bangladesh Shipping Corp,Bangladesh,Chittagong,Bangladesh,2025-03-01 00:00:00,,Accident
7941930,FLANDRIA 20,"Passenger Ship, Inland Waterways",732,,1915,Belgium,,Brabo CVBA,Belgium,Brabo CVBA,Brabo CVBA,Belgium,Ghent,Belgium,2025-11-01 00:00:00,,
8631491,GMA NADIA,General Cargo Ship,1880,1208.0,1988,Palau,,JMM Maritime Co SA,Belize,JMM Maritime Co SA,GMA Marine Ltd,Liberia,Aliaga,Turkey,2025-03-01 00:00:00,,
9236420,K ASIA,LNG Tanker,90835,29686.0,2003,St Kitts & Nevis,Spain,Seapeak LLC,Bermuda,Seapeak Maritime Glasgow Ltd,Seapeak Asia LLC,Marshall Islands,Chittagong,Bangladesh,2025-12-01 00:00:00,,
9122590,BERGE FUJI,Ore Carrier,145963,40658.0,1996,Isle Of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Mauna Kea Co SA,Panama,Chittagong,Bangladesh,2025-06-01 00:00:00,,
7925601,SATRO 25,Platform Supply Ship,796,,1980,Brazil,,Astromaritima Navegacao,Brazil,Astromaritima Navegacao,Astromaritima Navegacao,Brazil,Unknown,Brazil,2025-01-01 00:00:00,,
7510456,TANGARA,Offshore Support Vessel,2358,2163.0,1976,Brazil,,PETROBRAS,Brazil,TRANSPETRO,PETROBRAS,Brazil,Itajai,Brazil,2025-08-01 00:00:00,,
9055113,LUIZ,Bulk Carrier,25039,9100.0,1994,Unknown,Brazil,Mansur Navegacao SA,Brazil,Mansur Navegacao SA,Mansur Navegacao SA,Brazil,Aliaga,Turkey,2025-01-01 00:00:00,,
7927984,FORTU,Passenger/Cruise,37773,16120.0,1982,Comoros,Liberia,Astute Focus Group Ltd,British Virgin Islands,Royal Marine Shipmanagement,Voyage Shipping Inc,Marshall Islands,Alang,India,2025-02-01 00:00:00,,
