YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PLACE,COUNTRY,OWNER,OWNER_COUNTRY
2012,7705635,Beena,Bulk Carrier,,20586.0,1978.0,Cambodia,"Alang, India",India,International Bulk Carrier S.p.A.,Algeria
2012,7305502,Iron Monarch,RoRo,,,1973.0,Australia,"Alang, India",India,Bluescope Steel Limited,Australia
2012,9000948,Akarita,Tanker,,17081.0,1991.0,Bahamas,"Alang, India",India,Teekay Corporation,Bahamas
2012,6607525,Amsterdam,Tug,,,1966.0,Bahrain,"Alang, India",India,Abdulla Ahmed Nass,Bahrain
2012,8401353,Eagle N.,Bulk Carrier,,,1985.0,Panama,"Alang, India",India,Silvia Shipmanagement Limited,Bangladesh
2012,8613011,Indian Ocean,Reefer,,6805.0,1989.0,Bahamas,"Alang, India",India,Trireme Vessel Management N.V.,Belgium
2012,7387017,Hardt,Asphalt Tanker,,2677.0,1975.0,Equatorial Guinea,"Alang, India",India,Maritec N.V.,Belgium
2012,9036507,Saraswati,Bulk and oil carrier,,,1993.0,St Kitts-Nevis,"Alang, India",India,B+H Ocean Carriers Limited,Bermuda
2012,9007269,Ipanema,RoRo,,,1992.0,Brazil,"Alang, India",India,Transroll Navegacao S.A.,Brazil
2012,8501799,Boucas,Product tanker,,,1989.0,Tanzania,"Alang, India",India,Petrobras (Brazil),Brazil
2012,8006256,Kamenitza,Bulk Carrier,,7636.0,1980.0,Bulgaria,"Alang, India",India,Government of Bulgaria,Bulgaria
2012,8120375,Okoltchitza,Bulk Carrier,,7836.0,1982.0,Bulgaria,"Alang, India",India,Government of Bulgaria,Bulgaria
2012,8912479,Plovdiv,Container Ship,,6635.0,1989.0,Bulgaria,"Alang, India",India,Government of Bulgaria,Bulgaria
2012,8915861,Teteven,General Cargo ship,,4528.0,1990.0,Bulgaria,"Alang, India",India,Government of Bulgaria,Bulgaria
2012,8222599,Kaliakra,Bulk Carrier,,7755.0,1984.0,Malta,"Alang, India",India,Cosmos Shipping AD,Bulgaria
2012,9038933,Napier,Reefer,,5288.0,1994.0,Comoros,"Alang, India",India,Siem Industries Incorporated,Cayman Islands
2012,8814304,Argentina,Reefer,,,1992.0,Liberia,"Alang, India",India,Siem Industries Incorporated,Cayman Islands
2012,8307870,Don Raul,Bulk Carrier,,7292.0,1985.0,Panama,"Alang, India",India,Empresa Maritima S.A.,Chile
2012,6615106,Arau,Product tanker,,,1967.0,Sierra Leone,"Alang, India",India,Government of Chile,Chile
2012,8811704,Yong An Men,RoRo,,9210.0,1990.0,China,"Alang, India",India,Nanjing Ocean Shipping Company Limited,China
2012,8124917,MSC Sarawak,Container Ship,,14544.0,1983.0,Hong Kong,"Alang, India",India,Centrans Ocean Shipping Logistics Group,China
2012,8401767,Shao Shan 1,Bulk Carrier,,7989.0,1984.0,Hong Kong,"Alang, India",India,China COSCO Shipping (Group),China
2012,8913942,Qinfa 9,Bulk Carrier,,12157.0,1990.0,Hong Kong,"Alang, India",India,Hong Kong Qinfa Shipping Limited,China
2012,8323472,Vista,Bulk Carrier,,,1987.0,Marshall Islands,"Alang, India",India,View Marine Limited,China
2012,8314457,Jasmin,Bulk Carrier,,10328.0,1985.0,Panama,"Alang, India",India,ATL Shipping Limited,China
2012,8706624,Aonoble,Bulk Carrier,,13990.0,1988.0,Panama,"Alang, India",India,China COSCO Shipping (Group),China
2012,7932616,SC Excellent,Bulk Carrier,,,1981.0,Panama,"Alang, India",India,Evergood Shipping Limited,China
2012,8322856,Chang Tai,General Cargo Ship,,,1984.0,Panama,"Alang, India",India,Hengfa Shipping Incorporated,China
2012,8400440,Qinfa 6,Bulk Carrier,,12553.0,1984.0,Panama,"Alang, India",India,Hong Kong Qinfa Shipping Limited,China
2012,8209121,Hong Virtue,General Cargo Ship,,7976.0,1983.0,Panama,"Alang, India",India,Hongyuan Marine Company Limited,China
2012,8209638,Top Advancer,General Cargo Ship,,8055.0,1983.0,Panama,"Alang, India",India,Hubei Qintai Shipping Company Limited,China
2012,8028864,Heng Shun Da,Bulk Carrier,,9180.0,1983.0,Panama,"Alang, India",India,Jinrun Shipping Company Limited,China
2012,7908902,Hua Jin Hu,Bulk Carrier,,11596.0,1981.0,Panama,"Alang, India",India,Nanjing Hua Hai Shipping Company Limited,China
2012,8802430,Welmountain,Bulk ore carrier,,24308.0,1989.0,Panama,"Alang, India",India,Oriental Ocean Shipping Holding Private Limited,China
2012,8407668,Princess Katherine,Bulk and oil carrier,,,1986.0,Sierra Leone,"Alang, India",India,China COSCO Shipping (Group),China
2012,8007987,Asia Star,Chemical and oil tanker,,,1982.0,Singapore,"Alang, India",India,CSC Nanjing Tanker Corporation,China
2012,8130253,Yuan Tong,General Cargo Ship,,,1985.0,St Vincent & Grenadines,"Alang, India",India,Hongyuan Marine Company Limited,China
2012,8421963,Yuan Cheng,General Cargo Ship,,7560.0,1986.0,St Vincent & Grenadines,"Alang, India",India,Nanjing Ocean Shipping Company Limited,China
2012,7918268,Great On,Bulk Carrier,,11480.0,1981.0,Tuvalu,"Alang, India",India,Fujian Xinan Shipping Company Limited,China
